org,repo,datalake,github
Microsoft,filter-explorer,4,4
Microsoft,matchem-poker-wp,0,0
Microsoft,TFS_NPM_Native,0,0
Microsoft,opencv,77,0
Microsoft,tracks,1,1
Microsoft,packer-hyperv,21,21
Microsoft,Win2D,521,521
Microsoft,StorScore,48,48
Microsoft,bond,440,443
Microsoft,java-client-library,9,9
Microsoft,mwt-ds-decision-deprecated-,1,1
Microsoft,moodle-local_onenote,1,1
Microsoft,moodle-profilefield_o365,0,0
Microsoft,test-suite,0,0
Microsoft,AppInsights-ElasticSearch,1,1
Microsoft,CardinalityEstimation,15,15
Microsoft,CodeContracts,487,0
Microsoft,moodle-block_onenote,0,0
Microsoft,LLVMSharp,54,54
Microsoft,cordova-samples,80,0
Microsoft,MicrosoftStoreApi-docs-internal,0,0
Microsoft,nodejstools,1553,0
Microsoft,steprunner,0,0
Microsoft,MetricSystem,4,4
Microsoft,vso-extension-tools,8,8
Microsoft,ApplicationInsights-Go,3,3
Microsoft,DirectXTK,88,88
Microsoft,java-example-rbroker-basics,0,0
Microsoft,react-native-code-push,831,0
Microsoft,touchdevelop-mod,0,0
Microsoft,RTVS,3487,3517
Microsoft,ApplicationInsights-Docker,24,24
Microsoft,TypeScript-Package-Validator,0,0
Microsoft,GSLSpec,1,0
Microsoft,VisualFileInfo,0,0
Microsoft,healthvault-ios-sdk,30,30
Microsoft,microsoft-pdb,26,26
Microsoft,WPFDXInterop,32,32
Microsoft,wdg-cpub-test,96,96
Microsoft,vscode-extension-samples,15,15
Microsoft,vscode-mono-debug,30,0
Microsoft,cortana-samples,2,2
Microsoft,Multiverso,145,145
Microsoft,node-windows-mutex,2,2
Microsoft,MySQL-Provider,6,6
Microsoft,hardware-lab-kit,0,0
Microsoft,VirtualPCGuy-Private,0,0
Microsoft,vscode-tslint,203,0
Microsoft,StopGuessing,9,9
Microsoft,cordova-plugin-livereload,0,0
Microsoft,PythonInternalSite,0,0
Microsoft,vsts-bamboo-build-integration-sample,0,0
Microsoft,ospo-redir,4,4
Microsoft,MSR-SocialPlus-iOS-SDK,2,2
Microsoft,Imagine_fudge-roll,1,1
Microsoft,Office-js-docs_ko-kr,0,0
Microsoft,vsts-vscode,193,0
Microsoft,Angara.Statistics,3,3
Microsoft,PowerBI-visuals-community,0,0
Microsoft,MadMan,0,0
Microsoft,Build-Apache-Provider,0,0
Microsoft,Print-Cards-Extension,0,0
Microsoft,Fang,0,0
Microsoft,willow,2,2
Microsoft,VBA-content_fr-fr,0,0
Microsoft,dotnet-performance,2,2
Microsoft,MIMDocs,66,83
Microsoft,vs-diag-samples,4,4
Microsoft,generator-bingads-webpack-library,0,0
Microsoft,pxt-botframework,0,0
Microsoft,ChakraCore-wiki,35,35
Microsoft,Cognitive-Samples-FootnoteBot,4,4
Microsoft,vscode-sublime-keybindings,50,0
Microsoft,cci,37,42
Microsoft,RESX-Unused-Finder,1,1
Microsoft,pxt-sample,0,0
Microsoft,NTVS-telemetry-test,0,0
Microsoft,navonline-doc,6,6
Microsoft,AdventureWorksSkiApp,9,9
Microsoft,Cognitive-SpeakerRecognition-Windows,6,6
Microsoft,Cognitive-EntityLinking-Windows,2,2
Microsoft,HashCalculator,0,0
Microsoft,PowerBI-Node,38,38
Microsoft,MTMBuddy,5,5
Microsoft,PowerBI-visuals-contracts,1,1
Microsoft,mwt-ds,98,0
Microsoft,ospo-opensource-repos,213,236
Microsoft,Mesh-processing-library,1,1
Microsoft,DesktopBridgeToUWP-Samples,31,0
Microsoft,remotebuild,30,32
Microsoft,MSITARM1,1,1
Microsoft,vstest-docs,49,49
Microsoft,iCMSTest-Stage_de-DE,0,0
Microsoft,azure-mobile-apps-with-ionic,1,1
Microsoft,MicrosoftUWP_Unreal_Engine,0,0
Microsoft,MicrosoftUWP_UnrealEngine,0,0
Microsoft,api-guidelines,82,0
