org,repo,datalake,github
Microsoft,BikeSharing360_Websites,16,16
Microsoft,bing-knowledge-graph-explorer,5,5
Microsoft,PowerBI-visuals-ClusterMap,106,98
Microsoft,DSC-EA,0,0
Microsoft,smartfactory_toolkit,0,0
Microsoft,PageTesting,5,5
Microsoft,ospo-ghcrawler,449,411
Microsoft,HealthChecker,0,0
Microsoft,Cognitive-Custom-Speech-Service,17,16
Microsoft,xbox-live-samples,68,35
Microsoft,AL,119,87
Microsoft,depcontrols,2,2
Microsoft,sf-compose,4,4
Microsoft,AzureMonitorAddonForSplunk,46,83
Microsoft,PowerBI-visuals-TimeBrush,584,584
Microsoft,delete-me-please,4,4
Microsoft,toronto-docs,13,13
Microsoft,Windows-appsample-get-started-js3d,1,1
Microsoft,RS2-BugBash2-Feb17,740,677
Microsoft,VS2017-RTM-Xamarin-Cycle-9-Forms-Azure-Sample,25,25
Microsoft,powerbi-visuals-timeseriesdecomposition,4,1
Microsoft,vssetup.powershell,81,63
Microsoft,BotFramework-Samples,4,4
Microsoft,powerbi-visuals-mekkochart,20,2
Microsoft,git,70745,0
Microsoft,GVFS,9,11
Microsoft,WebPlatformInstallerFeed,24,35
Microsoft,VSPackageDesigner,7,7
Microsoft,rras-utils,3,3
Microsoft,healthvault-java-sdk,15,22
Microsoft,pxt-minecraft-built,27,70
Microsoft,BLIS-SDK-SAMPLE,27,51
Microsoft,mico-fs-mbed-os5,3,3
Microsoft,tfs-cli-privacy,3,3
Microsoft,MRDesignLabs_Unity_Notes,3,8
Microsoft,openshift-origin,26,19
Microsoft,docker-buildx,2,3
Microsoft,Cognitive-Face-DotNetCore,8,9
Microsoft,movie-db-java-on-gcp,0,3
Microsoft,mobile-center-plugin-fastlane,23,0
Microsoft,SubscribableEvent,7,8
Microsoft,ctsTraffic,0,67
Microsoft,map-explorer,22,22
Microsoft,PartnerCenterPowerShellModule,20,28
Microsoft,dynamic-layout-sample,12,12
Microsoft,solitaire-wp,7,7
Microsoft,surveillance-camera,8,8
Microsoft,nokia-x-notifications-samples,6,6
Microsoft,mesos-azure,2,2
Microsoft,java-example-fraud-score,26,26
Microsoft,msopentech-tools-for-intellij,697,688
Microsoft,Lumia-Imaging-SDK-Extras,42,42
Microsoft,referencesource,34,20
Microsoft,o365rwsclient,14,14
Microsoft,Azure-Websites-Tool-for-Linux,1,1
Microsoft,Microsoft.IO.RecyclableMemoryStream,62,60
Microsoft,EDK2,442,416
Microsoft,CppLab,215,0
Microsoft,Incast,6,6
Microsoft,msbuild,3660,0
Microsoft,dotnet-tools,93,93
Microsoft,ApplicationInsights-JS,1027,967
Microsoft,node-v0.12,10757,10739
Microsoft,Tocino,9190,9190
Microsoft,vsts-extension-samples,255,240
Microsoft,PartsUnlimitedMRP,661,342
Microsoft,Office-Online-Test-Tools-and-Documentation,518,394
Microsoft,WindowsUIDevLabs,234,241
Microsoft,psci-lib,51,51
Microsoft,mwt-ds-explore-test,22,22
Microsoft,3-in-1-dock,10,5
Microsoft,WingTipTickets,479,408
Microsoft,ospo-scanning,6,6
Microsoft,code-push,990,889
Microsoft,Virtualization-Documentation-Private,6389,5793
Microsoft,ApplicationInsights-Announcements,2,2
Microsoft,nodejs-guidelines,156,0
Microsoft,vscode-connect,11,0
Microsoft,Bowtie,193,191
Microsoft,java-vm-creation-private,71,76
Microsoft,vscode-debugadapter-node,249,252
Microsoft,Apache-Provider,1341,1335
Microsoft,ivy,327,319
Microsoft,KafkaDiskRebalancerTool,4,4
Microsoft,vscode-update-server,161,167
Microsoft,vsts-jenkins-build-integration-sample,4,4
Microsoft,CNTK-exp-private,9389,9334
Microsoft,HoloToolkit-Unity,1641,1289
Microsoft,ospo-witness,32,31
Microsoft,kindscript-microbit-skeleton,8,8
Microsoft,Loop-Android-SDK,439,210
Microsoft,TypeSearch,40,38
Microsoft,PowerBI-Angular2,2,2
Microsoft,leaf-plugin-vcq,9,9
Microsoft,deprecated-pxt-makerjs,8,0
Microsoft,IdentityARMTemplates,2,2
Microsoft,ApplicationInsights-statsd,6,6
Microsoft,OMS-Ingestion-API-Binding-CSharp,30,30
Microsoft,Loop-Sample-Location-IOS,15,7
Microsoft,Cognitive-Face-Windows,121,38
Microsoft,vscode-uri,29,27
Microsoft,BotFrameworkDocsV1,1,1
Microsoft,BotFramework-WebChat,1132,1013
Microsoft,sqltoolsservice,2030,0
Microsoft,PowerBI-visuals-tree,22,22
Microsoft,sarif-viewer-vscode,28,20
Microsoft,Dynamics-AX-Scripts,4,4
Microsoft,appium,5987,5977
Microsoft,DevSkim,47,64
Microsoft,TheanoPTest,1,1
Microsoft,PowerBI-visuals-something,1,1
Microsoft,common-data-model,716,715
Microsoft,mssql-conf,42,10
Microsoft,Microsoft-graph-docs_ja-jp,52,54
Microsoft,Microsoft-graph-docs_de-de,49,51
Microsoft,hd-vm,561,640
Microsoft,OpenType-SVG-Font-Editor,1,1
Microsoft,ICMSE2ETest_de-DE,267,355
Microsoft,groove-api-sdk-csharp,46,47
Microsoft,Techcon_dogfooding_de-DE,12,12
Microsoft,techcon_dogfooding_mt,4,4
Microsoft,TestDemoKev_zh-TW,9,9
Microsoft,appium-windows-driver,40,40
Microsoft,Windows-appsample-coloringbook,6,6
Microsoft,BashOnWindows-Test,32,32
Microsoft,developer,9,8
Microsoft,tigertoolbox,166,177
Microsoft,AzureNotebooks,32,32
Microsoft,LoopBox-InputProcessor,4,4
Microsoft,BotBuilder-Location,248,124
Microsoft,deprecated-pxt-microbitorg-built,0,0
Microsoft,MLCluster,1582,1582
Microsoft,PowerBI-visuals-AsterPlot,33,33
Microsoft,types-registry,1,1
Microsoft,powerbi-visuals-sanddance,14,15
Microsoft,vscode-azure-pack,8,6
Microsoft,Infer.NET,0,0
Microsoft,Essex-PowerBI-visuals-base,158,158
Microsoft,DLWorkspace,592,594
Microsoft,powerbi-visuals-dotplot,14,14
Microsoft,powerbi-visuals-streamgraph,16,16
Microsoft,HomeTeam,324,334
Microsoft,configure-azure-appservice-private-npm-feed,2,2
Microsoft,BotFramework-DirectLineJS,70,73
Microsoft,graph-test,0,0
Microsoft,BingMapsV8CodeSamples,44,62
Microsoft,line-bot-awards-azure-starter-kit,6,0
Microsoft,demo-first-response-online,15,19
Microsoft,mobile-center-quickstart-ios,0,0
Microsoft,organizational-sticky-notes,4,4
Microsoft,Picnic,5,7
Microsoft,Smart-Energy-Foundation-Demo-Stack,0,12
Microsoft,powerbi-visuals-heatmap,24,5
Microsoft,movie-db-java-on-azure,183,68
Microsoft,ctsTraffic,0,67
Microsoft,azureIotdevkitscript,140,113
Microsoft,myhealthclinic2017,3,5
Microsoft,slow-cheetah,118,369
Microsoft,archi-builder,1,3
Microsoft,CRA,6,7
Microsoft,IPC.Bond,3,3
Microsoft,FourQlib,35,35
Microsoft,TypeScript-Knockout-Starter,6,6
Microsoft,launchapp-tag-maker,5,5
Microsoft,maps-samples,18,18
Microsoft,iOS-LensRocket,23,23
Microsoft,microsoft.github.io,213,197
Microsoft,Docker.DotNet,360,291
Microsoft,Test-CLA-Hub-PPE,4,0
Microsoft,ApplicationInsights-PHP,62,59
Microsoft,ConnectedServicesSdkSamples,28,28
Microsoft,moodle-local_msaccount,62,60
Microsoft,moodle-local_microsoftservices,33,33
Microsoft,compiler-rt,5792,5791
Microsoft,IssueLens,61,61
Microsoft,HockeyApp-SDKsAndApps-Resources,32,32
Microsoft,perfview,715,632
Microsoft,RoomAliveToolkit,13,94
Microsoft,TypeScript-Emacs-Plugin,1,1
Microsoft,maker.js,1112,1123
Microsoft,libnetwork,330,0
Microsoft,NFC-Class-Extension-Driver,122,46
Microsoft,microsoft-deployment-accelerator-for-hybris-on-azure,22,22
Microsoft,mwt-ds-explore-csharp,3636,3636
Microsoft,vsts-zendesk-app,89,72
Microsoft,ApplicationInsights-App-Windows,58,55
Microsoft,xunit-performance,705,547
Microsoft,DockerTools,12,16
Microsoft,NativeTooling,18,21
Microsoft,code-push-site-private,296,281
Microsoft,taco-simulate,21,19
Microsoft,vscode-comment,58,58
Microsoft,code-push-vsts-extension,188,187
Microsoft,vscode-jshint,66,64
Microsoft,Mobius,1497,1067
Microsoft,vsts-developer-tools,198,198
Microsoft,ts-api-checker,9,9
Microsoft,vscode-themes,23,24
Microsoft,microbit-chrome,33,33
Microsoft,vscode-languageserver-node-example,37,28
Microsoft,SDN,261,246
Microsoft,VS-PPT,80,52
Microsoft,ux_guidelines_it-it,1,0
Microsoft,ux_guidelines_ja-jp,8,0
Microsoft,ux_guidelines_ru-ru,8,0
Microsoft,vsts-agent-cookbook,28,25
Microsoft,vscode-react-native,1098,1001
Microsoft,VBA-content_pt-br,16,16
Microsoft,Sway_it-it,1,0
Microsoft,Networking-acs-sswsdk,1,1
Microsoft,GetVSTSBuildUsage,7,7
Microsoft,vscode-nls,29,27
Microsoft,java-azure-samples-private,11,11
Microsoft,son.net,1,1
Microsoft,MSR-SocialPlus-Android-SDK,227,233
Microsoft,pxt-minecraft,742,832
Microsoft,SCXcore-osskits,11,10
Microsoft,release-extensions,1,1
Microsoft,vsglimpse,1,0
Microsoft,Angara.Flow,50,50
