org,repo_name, repo_id,created_at, issue
CONTOSODEV,hello-world,89027980,2017-04-21,missing
CONTOSODEV,mytestrepo,88890272,2017-04-20,missing
CONTOSOTEST,my-test-repo-via-portal,88918147,2017-04-20,missing
DEPLOYR,private-archive,47634304,2015-12-08,missing
DEPLOYR,private-deployr,44202630,2015-10-13,missing
DEPLOYR,private-help-doc,37144930,2015-06-09,missing
DEPLOYR,private-website,36660895,2015-06-01,missing
DEPLOYR,revoscaler,41302200,2015-08-24,missing
MICROSOFTDOCS,e2e_p_test_srmovefrmove2,91042371,2017-05-12,missing
MICROSOFTDOCS,e2e_p_test_srmovefrmove3,91043841,2017-05-12,missing
MSFTBERLIN,benutzer,50861824,2016-02-01,missing
MSFTBERLIN,client_automation,56305494,2016-04-15,missing
MSFTBERLIN,iosodspsharedaccounts,75652597,2016-12-05,missing
MSFTBERLIN,ms-todo-framer,83416939,2017-02-28,missing
MSFTBERLIN,reactive-collections-js,60845369,2016-06-10,missing
MSFTBERLIN,today-mac-updater,56516042,2016-04-18,missing
MSFTBERLIN,today-sync-js,50438758,2016-01-26,missing
NUGET,concierge,12168383,2013-08-16,missing
NUGET,media,3077305,2011-12-30,missing
NUGET,nuget.gallery,30059052,2015-01-30,missing
NUGET,nuget.operations.support,52303275,2016-02-22,missing
NUGET,nuget.packageindex,31683172,2015-03-04,missing
NUGET,nuget.schema,23444797,2014-08-28,missing
NUGET,nuget.services.build,18074107,2014-03-24,missing
NUGET,nuget.services.gateway,19120897,2014-04-24,missing
NUGET,nuget.services.messaging,30095158,2015-01-30,missing
NUGET,nuget.services.metrics,22084691,2014-07-22,missing
NUGET,nuget.services.platform,16930784,2014-02-17,missing
NUGET,nuget.services.tools,53081707,2016-03-03,missing
NUGET,nuget.services.work,16930932,2014-02-17,missing
NUGET,nuget.warehouse,16931135,2014-02-18,missing
NUGET,nugetgalleryops,3829312,2012-03-26,missing
NUGET,nugetstats,8444143,2013-02-26,missing
NUGET,opsdashboard,7828768,2013-01-25,missing
NUGET,politecaptcha,3355498,2012-02-04,missing
NUGET,webmatrix-gallery,2522473,2011-10-05,missing
ASPNET,applicationinsights-aspnetcore,73757759,2016-11-14,extra
ASPNET,aspnet.xunit,27837324,2014-12-10,extra
ASPNET,aspnetcoreruntimesetup,72138653,2016-10-27,extra
ASPNET,compilationabstractions,44202029,2015-10-13,extra
ASPNET,ef6codeplexmigrationtesting,54482851,2016-03-22,extra
ASPNET,getstarted,64036411,2016-07-23,extra
ASPNET,go.asp.net,40928805,2015-08-17,extra
ASPNET,ibc,21993270,2014-07-18,extra
AZ-CAT,aws-to-azure,81621616,2017-02-11,extra
AZURE,application-analytics-doc,51543156,2016-02-11,extra
AZURE,az-iot-gw-sample,84064107,2017-03-06,extra
AZURE,azure-bigcompute-gpu,67350360,2016-09-04,extra
AZURE,azure-blast,83843330,2017-03-03,extra
AZURE,azure-extension-helpers,79506539,2017-01-19,extra
AZURE,azure-github-organization,17758177,2014-03-14,extra
AZURE,azure-iot-connectedfactory,86699916,2017-03-30,extra
AZURE,azure-iot-pcs-component-device-simulation,88561836,2017-04-18,extra
AZURE,azure-iot-pcs-component-template,88561875,2017-04-18,extra
AZURE,azure-iot-pcs-remote-monitoring-dotnet-tmp,89765659,2017-04-29,extra
AZURE,azure-linux-provisioning-agent,50371554,2016-01-25,extra
AZURE,azure-relay-python,68630762,2016-09-19,extra
AZURE,azure-sdk-for-go-asm,81592605,2017-02-10,extra
AZURE,azure-servicefabric-java,67233863,2016-09-02,extra
AZURE,azurestack-hybriddevpatterns,84235279,2017-03-07,extra
AZURE,cortanaintelligenceisv,71520861,2016-10-21,extra
AZURE,creds,20941364,2014-06-17,extra
AZURE,iot-gateway-opc-ua-publisher-internal,84199714,2017-03-07,extra
AZURE,networking-acs-sswsdk,50689722,2016-01-29,extra
AZURE,networking-acs-sswsyncd,51402798,2016-02-09,extra
AZURE,networking-arista-platform-7050,52301895,2016-02-22,extra
AZURE,servicefabric-samples,33570165,2015-04-07,extra
AZURE,sonic-linux-kernel-old,53515483,2016-03-09,extra
AZURE,sonic-sim-platform-config,64862387,2016-08-03,extra
AZURE,yang,52043398,2016-02-18,extra
AZURE-SAMPLES,app-service-mobile-ios-quickstart,66670808,2016-08-26,extra
AZURE-SAMPLES,app-service-mobile-xamarin-forms-quickstart,60652117,2016-06-07,extra
AZURE-SAMPLES,app-service-mobile-xamarin-ios-quickstart,66670829,2016-08-26,extra
AZURE-SAMPLES,azure-cosmos-db-graph-dotnet-getting-started,89748885,2017-04-28,extra
